"notation","title","description","id","title_en","description_en"
"","Bild","","h9s",,
"","Audio","","e2e",,
"","Video","","p3y",,
"","Optionsfelder","","b3t",,
"","Kontrollkästchen","","s5g",,
"","Sortierliste","","b5v",,
"","Rechenkästchen","",,,
"","GeoGebra","",,,
